event_id,person_id,location,timestamp,event_type,vehicle_no,source
S0068,P034,Delhi,2026-07-19 20:55:00,suspicious gathering,KA44AB1034,synthetic_CCTV
S0069,P012,Pune,2026-06-25 03:27:00,suspicious gathering,MH22AB1012,synthetic_CCTV
S0070,P009,Mumbai,2026-08-21 03:42:00,suspicious gathering,DL19AB1009,synthetic_CCTV
S0071,P011,Bengaluru,2026-07-20 17:25:00,location observation,GJ21AB1011,synthetic_CCTV
S0072,P020,Pune,2026-07-13 04:22:00,suspicious gathering,MH30AB1020,synthetic_CCTV
S0073,P017,Mumbai,2026-08-27 14:49:00,suspicious gathering,DL27AB1017,synthetic_CCTV
S0074,P031,Lucknow,2026-08-20 11:03:00,suspicious gathering,GJ41AB1031,synthetic_CCTV
S0075,P002,Delhi,2026-07-14 20:13:00,vehicle movement,KA12AB1002,synthetic_CCTV
S0076,P042,Delhi,2026-06-24 17:06:00,location observation,KA52AB1042,synthetic_CCTV
S0077,P016,Chandigarh,2026-06-08 14:05:00,vehicle movement,MH26AB1016,synthetic_CCTV
S0078,P023,Lucknow,2026-08-11 03:43:00,meeting,GJ33AB1023,synthetic_CCTV
S0079,P027,Bengaluru,2026-08-06 14:16:00,location observation,GJ37AB1027,synthetic_CCTV
S0080,P018,Delhi,2026-06-25 17:44:00,suspicious gathering,KA28AB1018,synthetic_CCTV
S0081,P033,Mumbai,2026-07-02 06:34:00,suspicious gathering,DL43AB1033,synthetic_CCTV
S0082,P039,Lucknow,2026-08-06 21:22:00,meeting,GJ49AB1039,synthetic_CCTV
S0083,P037,Hyderabad,2026-06-22 08:57:00,suspicious gathering,DL47AB1037,synthetic_CCTV
S0084,P042,Delhi,2026-06-21 13:47:00,vehicle movement,KA52AB1042,synthetic_CCTV
S0085,P044,Pune,2026-06-20 15:17:00,suspicious gathering,MH54AB1044,synthetic_CCTV
S0086,P004,Pune,2026-08-03 14:00:00,vehicle movement,MH14AB1004,synthetic_CCTV
S0087,P006,Jaipur,2026-06-05 07:57:00,location observation,KA16AB1006,synthetic_CCTV
S0088,P021,Hyderabad,2026-08-16 20:47:00,suspicious gathering,DL31AB1021,synthetic_CCTV
S0089,P006,Jaipur,2026-07-08 12:31:00,meeting,KA16AB1006,synthetic_CCTV
S0090,P032,Chandigarh,2026-08-14 06:56:00,location observation,MH42AB1032,synthetic_CCTV
S0091,P003,Bengaluru,2026-07-19 00:23:00,suspicious gathering,GJ13AB1003,synthetic_CCTV
S0092,P020,Pune,2026-06-15 09:35:00,suspicious gathering,MH30AB1020,synthetic_CCTV
S0093,P005,Hyderabad,2026-07-16 16:12:00,vehicle movement,DL15AB1005,synthetic_CCTV
S0094,P050,Delhi,2026-06-20 12:53:00,location observation,KA60AB1050,synthetic_CCTV
S0095,P015,Lucknow,2026-06-02 03:17:00,vehicle movement,GJ25AB1015,synthetic_CCTV
S0096,P004,Pune,2026-06-01 21:17:00,suspicious gathering,MH14AB1004,synthetic_CCTV
S0097,P045,Hyderabad,2026-06-27 13:26:00,location observation,DL55AB1045,synthetic_CCTV
S0098,P011,Bengaluru,2026-06-25 08:26:00,suspicious gathering,GJ21AB1011,synthetic_CCTV
S0099,P042,Delhi,2026-06-02 20:50:00,location observation,KA52AB1042,synthetic_CCTV
S0100,P003,Bengaluru,2026-07-11 01:33:00,location observation,GJ13AB1003,synthetic_CCTV
S0101,P042,Delhi,2026-08-18 06:41:00,vehicle movement,KA52AB1042,synthetic_CCTV
S0102,P020,Pune,2026-06-24 01:15:00,suspicious gathering,MH30AB1020,synthetic_CCTV
S0103,P005,Hyderabad,2026-08-17 07:43:00,vehicle movement,DL15AB1005,synthetic_CCTV
S0104,P029,Hyderabad,2026-06-25 16:25:00,suspicious gathering,DL39AB1029,synthetic_CCTV
S0105,P041,Mumbai,2026-08-18 02:25:00,meeting,DL51AB1041,synthetic_CCTV
S0106,P030,Jaipur,2026-06-27 11:04:00,vehicle movement,KA40AB1030,synthetic_CCTV
S0107,P034,Delhi,2026-07-08 05:15:00,suspicious gathering,KA44AB1034,synthetic_CCTV
S0108,P019,Bengaluru,2026-08-05 19:27:00,vehicle movement,GJ29AB1019,synthetic_CCTV
S0109,P013,Hyderabad,2026-06-15 11:35:00,meeting,DL23AB1013,synthetic_CCTV
S0110,P001,Mumbai,2026-07-12 22:56:00,vehicle movement,DL11AB1001,synthetic_CCTV
S0111,P002,Delhi,2026-07-12 21:24:00,location observation,KA12AB1002,synthetic_CCTV
S0112,P048,Chandigarh,2026-08-16 02:04:00,vehicle movement,MH58AB1048,synthetic_CCTV
S0113,P001,Mumbai,2026-07-15 07:15:00,meeting,DL11AB1001,synthetic_CCTV
S0114,P027,Bengaluru,2026-07-10 02:05:00,suspicious gathering,GJ37AB1027,synthetic_CCTV
S0115,P048,Chandigarh,2026-07-12 16:17:00,vehicle movement,MH58AB1048,synthetic_CCTV
S0116,P037,Hyderabad,2026-08-09 17:42:00,location observation,DL47AB1037,synthetic_CCTV
S0117,P046,Jaipur,2026-07-05 08:43:00,vehicle movement,KA56AB1046,synthetic_CCTV
S0118,P048,Chandigarh,2026-06-21 09:44:00,suspicious gathering,MH58AB1048,synthetic_CCTV
S0119,P023,Lucknow,2026-08-03 23:53:00,location observation,GJ33AB1023,synthetic_CCTV
S0120,P049,Mumbai,2026-08-17 00:46:00,suspicious gathering,DL59AB1049,synthetic_CCTV
S0121,P004,Pune,2026-08-23 16:54:00,meeting,MH14AB1004,synthetic_CCTV
S0122,P018,Delhi,2026-08-17 09:12:00,suspicious gathering,KA28AB1018,synthetic_CCTV
S0123,P037,Hyderabad,2026-06-05 17:21:00,suspicious gathering,DL47AB1037,synthetic_CCTV
S0124,P048,Chandigarh,2026-07-27 19:44:00,location observation,MH58AB1048,synthetic_CCTV
S0125,P050,Delhi,2026-07-23 12:47:00,suspicious gathering,KA60AB1050,synthetic_CCTV
S0126,P025,Mumbai,2026-08-14 07:58:00,location observation,DL35AB1025,synthetic_CCTV
S0127,P010,Delhi,2026-06-25 12:36:00,location observation,KA20AB1010,synthetic_CCTV
S0128,P006,Jaipur,2026-07-21 02:56:00,meeting,KA16AB1006,synthetic_CCTV
S0129,P032,Chandigarh,2026-07-05 19:24:00,suspicious gathering,MH42AB1032,synthetic_CCTV
S0130,P020,Pune,2026-08-02 04:12:00,vehicle movement,MH30AB1020,synthetic_CCTV
S0131,P012,Pune,2026-06-05 08:25:00,meeting,MH22AB1012,synthetic_CCTV
S0132,P019,Bengaluru,2026-07-17 06:12:00,vehicle movement,GJ29AB1019,synthetic_CCTV
S0133,P039,Lucknow,2026-08-07 04:44:00,meeting,GJ49AB1039,synthetic_CCTV
S0134,P018,Delhi,2026-08-24 21:36:00,suspicious gathering,KA28AB1018,synthetic_CCTV
S0135,P008,Chandigarh,2026-07-26 17:17:00,location observation,MH18AB1008,synthetic_CCTV
S0136,P026,Delhi,2026-06-22 01:45:00,meeting,KA36AB1026,synthetic_CCTV
S0137,P026,Delhi,2026-06-23 07:48:00,vehicle movement,KA36AB1026,synthetic_CCTV
S0138,P048,Chandigarh,2026-08-03 05:04:00,location observation,MH58AB1048,synthetic_CCTV
S0139,P031,Lucknow,2026-06-04 18:59:00,location observation,GJ41AB1031,synthetic_CCTV
S0140,P017,Mumbai,2026-08-20 05:12:00,location observation,DL27AB1017,synthetic_CCTV
S0141,P021,Hyderabad,2026-06-03 06:13:00,meeting,DL31AB1021,synthetic_CCTV
S0142,P010,Delhi,2026-08-16 21:30:00,suspicious gathering,KA20AB1010,synthetic_CCTV
S0143,P011,Bengaluru,2026-07-12 17:24:00,vehicle movement,GJ21AB1011,synthetic_CCTV
S0144,P005,Hyderabad,2026-08-06 08:12:00,meeting,DL15AB1005,synthetic_CCTV
S0145,P037,Hyderabad,2026-08-20 17:13:00,suspicious gathering,DL47AB1037,synthetic_CCTV
S0146,P041,Mumbai,2026-07-06 00:35:00,suspicious gathering,DL51AB1041,synthetic_CCTV
S0147,P032,Chandigarh,2026-07-25 12:01:00,meeting,MH42AB1032,synthetic_CCTV
S0148,P050,Delhi,2026-06-18 09:53:00,suspicious gathering,KA60AB1050,synthetic_CCTV
S0149,P003,Bengaluru,2026-08-26 13:25:00,vehicle movement,GJ13AB1003,synthetic_CCTV
S0150,P001,Mumbai,2026-07-13 15:21:00,suspicious gathering,DL11AB1001,synthetic_CCTV
S0151,P009,Mumbai,2026-08-16 00:08:00,vehicle movement,DL19AB1009,synthetic_CCTV
S0152,P024,Chandigarh,2026-06-19 11:20:00,suspicious gathering,MH34AB1024,synthetic_CCTV
S0153,P027,Bengaluru,2026-08-07 05:22:00,meeting,GJ37AB1027,synthetic_CCTV
S0154,P001,Mumbai,2026-06-11 12:11:00,location observation,DL11AB1001,synthetic_CCTV
S0155,P033,Mumbai,2026-07-12 20:23:00,vehicle movement,DL43AB1033,synthetic_CCTV
S0156,P041,Mumbai,2026-08-17 07:44:00,vehicle movement,DL51AB1041,synthetic_CCTV
S0157,P037,Hyderabad,2026-07-27 08:56:00,suspicious gathering,DL47AB1037,synthetic_CCTV
S0158,P041,Mumbai,2026-06-24 15:43:00,suspicious gathering,DL51AB1041,synthetic_CCTV
S0159,P003,Bengaluru,2026-08-10 12:43:00,suspicious gathering,GJ13AB1003,synthetic_CCTV
S0160,P042,Delhi,2026-08-13 14:03:00,location observation,KA52AB1042,synthetic_CCTV
S0161,P010,Delhi,2026-06-20 05:50:00,meeting,KA20AB1010,synthetic_CCTV
S0162,P046,Jaipur,2026-08-23 14:58:00,suspicious gathering,KA56AB1046,synthetic_CCTV
S0163,P044,Pune,2026-08-09 02:50:00,suspicious gathering,MH54AB1044,synthetic_CCTV
S0164,P040,Chandigarh,2026-08-25 13:43:00,suspicious gathering,MH50AB1040,synthetic_CCTV
S0165,P045,Hyderabad,2026-07-25 02:28:00,suspicious gathering,DL55AB1045,synthetic_CCTV
S0166,P005,Hyderabad,2026-06-21 22:57:00,vehicle movement,DL15AB1005,synthetic_CCTV
S0167,P034,Delhi,2026-08-18 12:53:00,location observation,KA44AB1034,synthetic_CCTV
S0168,P023,Lucknow,2026-08-13 04:42:00,location observation,GJ33AB1023,synthetic_CCTV
S0169,P003,Bengaluru,2026-06-20 04:51:00,location observation,GJ13AB1003,synthetic_CCTV
S0170,P028,Pune,2026-08-21 16:19:00,suspicious gathering,MH38AB1028,synthetic_CCTV
S0171,P032,Chandigarh,2026-06-24 01:10:00,vehicle movement,MH42AB1032,synthetic_CCTV
S0172,P048,Chandigarh,2026-06-19 22:24:00,suspicious gathering,MH58AB1048,synthetic_CCTV
S0173,P046,Jaipur,2026-06-09 14:44:00,vehicle movement,KA56AB1046,synthetic_CCTV
S0174,P034,Delhi,2026-08-09 07:54:00,vehicle movement,KA44AB1034,synthetic_CCTV
S0175,P014,Jaipur,2026-07-25 02:44:00,location observation,KA24AB1014,synthetic_CCTV
S0176,P023,Lucknow,2026-08-23 21:50:00,meeting,GJ33AB1023,synthetic_CCTV
S0177,P022,Jaipur,2026-07-16 03:58:00,meeting,KA32AB1022,synthetic_CCTV
S0178,P020,Pune,2026-06-11 05:00:00,location observation,MH30AB1020,synthetic_CCTV
S0179,P033,Mumbai,2026-06-26 02:43:00,meeting,DL43AB1033,synthetic_CCTV
S0180,P049,Mumbai,2026-07-11 18:55:00,suspicious gathering,DL59AB1049,synthetic_CCTV
S0181,P030,Jaipur,2026-08-02 16:15:00,suspicious gathering,KA40AB1030,synthetic_CCTV
S0182,P011,Bengaluru,2026-08-05 09:58:00,suspicious gathering,GJ21AB1011,synthetic_CCTV
S0183,P007,Lucknow,2026-08-24 07:16:00,location observation,GJ17AB1007,synthetic_CCTV
S0184,P039,Lucknow,2026-06-21 16:55:00,location observation,GJ49AB1039,synthetic_CCTV
S0185,P026,Delhi,2026-06-05 23:07:00,location observation,KA36AB1026,synthetic_CCTV
S0186,P039,Lucknow,2026-06-09 09:55:00,vehicle movement,GJ49AB1039,synthetic_CCTV
S0187,P023,Lucknow,2026-08-06 12:08:00,suspicious gathering,GJ33AB1023,synthetic_CCTV
S0188,P046,Jaipur,2026-08-10 16:07:00,suspicious gathering,KA56AB1046,synthetic_CCTV
S0189,P009,Mumbai,2026-07-12 00:52:00,location observation,DL19AB1009,synthetic_CCTV
S0190,P018,Delhi,2026-08-19 23:16:00,location observation,KA28AB1018,synthetic_CCTV
S0191,P034,Delhi,2026-07-01 06:54:00,meeting,KA44AB1034,synthetic_CCTV
S0192,P028,Pune,2026-07-04 07:37:00,vehicle movement,MH38AB1028,synthetic_CCTV
S0193,P043,Bengaluru,2026-06-05 04:05:00,vehicle movement,GJ53AB1043,synthetic_CCTV
S0194,P039,Lucknow,2026-08-09 16:47:00,location observation,GJ49AB1039,synthetic_CCTV
S0195,P034,Delhi,2026-06-11 16:24:00,location observation,KA44AB1034,synthetic_CCTV
S0196,P048,Chandigarh,2026-08-20 07:49:00,location observation,MH58AB1048,synthetic_CCTV
S0197,P007,Lucknow,2026-08-23 13:39:00,suspicious gathering,GJ17AB1007,synthetic_CCTV
S0198,P017,Mumbai,2026-08-24 06:14:00,meeting,DL27AB1017,synthetic_CCTV
S0199,P045,Hyderabad,2026-08-04 03:42:00,vehicle movement,DL55AB1045,synthetic_CCTV
S0200,P041,Mumbai,2026-06-03 11:41:00,location observation,DL51AB1041,synthetic_CCTV
S0201,P002,Delhi,2026-07-19 18:47:00,suspicious gathering,KA12AB1002,synthetic_CCTV
S0202,P008,Chandigarh,2026-08-02 03:57:00,meeting,MH18AB1008,synthetic_CCTV
S0203,P024,Chandigarh,2026-07-09 21:31:00,vehicle movement,MH34AB1024,synthetic_CCTV
S0204,P031,Lucknow,2026-07-06 18:06:00,vehicle movement,GJ41AB1031,synthetic_CCTV
S0205,P045,Hyderabad,2026-06-07 04:41:00,location observation,DL55AB1045,synthetic_CCTV
S0206,P042,Delhi,2026-06-17 22:38:00,vehicle movement,KA52AB1042,synthetic_CCTV
S0207,P002,Delhi,2026-07-03 09:35:00,suspicious gathering,KA12AB1002,synthetic_CCTV
S0208,P018,Delhi,2026-06-02 09:15:00,meeting,KA28AB1018,synthetic_CCTV
S0209,P009,Mumbai,2026-08-19 10:40:00,suspicious gathering,DL19AB1009,synthetic_CCTV
S0210,P021,Hyderabad,2026-07-11 06:21:00,vehicle movement,DL31AB1021,synthetic_CCTV
S0211,P012,Pune,2026-07-23 01:50:00,location observation,MH22AB1012,synthetic_CCTV
S0212,P011,Bengaluru,2026-07-10 07:06:00,location observation,GJ21AB1011,synthetic_CCTV
S0213,P015,Lucknow,2026-08-26 16:40:00,location observation,GJ25AB1015,synthetic_CCTV
S0214,P031,Lucknow,2026-06-10 08:00:00,meeting,GJ41AB1031,synthetic_CCTV
S0215,P050,Delhi,2026-07-21 22:47:00,vehicle movement,KA60AB1050,synthetic_CCTV
S0216,P028,Pune,2026-06-19 23:25:00,location observation,MH38AB1028,synthetic_CCTV
S0217,P027,Bengaluru,2026-08-06 17:47:00,vehicle movement,GJ37AB1027,synthetic_CCTV
S0218,P044,Pune,2026-06-03 22:18:00,vehicle movement,MH54AB1044,synthetic_CCTV
S0219,P021,Hyderabad,2026-08-27 08:06:00,suspicious gathering,DL31AB1021,synthetic_CCTV
S0220,P048,Chandigarh,2026-07-19 21:35:00,location observation,MH58AB1048,synthetic_CCTV
S0221,P040,Chandigarh,2026-06-07 00:12:00,vehicle movement,MH50AB1040,synthetic_CCTV
S0222,P015,Lucknow,2026-06-06 07:14:00,vehicle movement,GJ25AB1015,synthetic_CCTV
S0223,P044,Pune,2026-08-23 13:27:00,vehicle movement,MH54AB1044,synthetic_CCTV
S0224,P021,Hyderabad,2026-06-18 08:37:00,location observation,DL31AB1021,synthetic_CCTV
S0225,P013,Hyderabad,2026-08-13 20:42:00,location observation,DL23AB1013,synthetic_CCTV
S0226,P038,Jaipur,2026-06-03 13:46:00,vehicle movement,KA48AB1038,synthetic_CCTV
S0227,P004,Pune,2026-08-03 18:27:00,location observation,MH14AB1004,synthetic_CCTV
S0228,P038,Jaipur,2026-07-16 20:11:00,suspicious gathering,KA48AB1038,synthetic_CCTV
S0229,P026,Delhi,2026-07-10 22:22:00,location observation,KA36AB1026,synthetic_CCTV
S0230,P018,Delhi,2026-08-07 01:44:00,vehicle movement,KA28AB1018,synthetic_CCTV
S0231,P021,Hyderabad,2026-08-24 09:08:00,meeting,DL31AB1021,synthetic_CCTV
S0232,P026,Delhi,2026-08-10 17:05:00,vehicle movement,KA36AB1026,synthetic_CCTV
S0233,P009,Mumbai,2026-08-02 12:44:00,suspicious gathering,DL19AB1009,synthetic_CCTV
S0234,P031,Lucknow,2026-07-07 16:30:00,location observation,GJ41AB1031,synthetic_CCTV
S0235,P006,Jaipur,2026-06-17 12:05:00,vehicle movement,KA16AB1006,synthetic_CCTV
S0236,P026,Delhi,2026-06-17 23:45:00,suspicious gathering,KA36AB1026,synthetic_CCTV
S0237,P022,Jaipur,2026-08-07 14:25:00,vehicle movement,KA32AB1022,synthetic_CCTV
S0238,P024,Chandigarh,2026-06-27 02:09:00,vehicle movement,MH34AB1024,synthetic_CCTV
S0239,P015,Lucknow,2026-08-19 22:11:00,suspicious gathering,GJ25AB1015,synthetic_CCTV
S0240,P004,Pune,2026-07-15 11:29:00,suspicious gathering,MH14AB1004,synthetic_CCTV
S0241,P035,Bengaluru,2026-06-04 07:29:00,vehicle movement,GJ45AB1035,synthetic_CCTV
S0242,P006,Jaipur,2026-06-07 22:55:00,meeting,KA16AB1006,synthetic_CCTV
S0243,P026,Delhi,2026-06-14 19:58:00,suspicious gathering,KA36AB1026,synthetic_CCTV
S0244,P042,Delhi,2026-06-25 07:15:00,vehicle movement,KA52AB1042,synthetic_CCTV
S0245,P006,Jaipur,2026-08-02 06:52:00,meeting,KA16AB1006,synthetic_CCTV
S0246,P037,Hyderabad,2026-08-23 20:41:00,location observation,DL47AB1037,synthetic_CCTV
S0247,P025,Mumbai,2026-06-24 05:18:00,suspicious gathering,DL35AB1025,synthetic_CCTV
S0248,P013,Hyderabad,2026-06-13 07:52:00,meeting,DL23AB1013,synthetic_CCTV
S0249,P038,Jaipur,2026-07-05 11:19:00,suspicious gathering,KA48AB1038,synthetic_CCTV
S0250,P020,Pune,2026-07-07 11:59:00,location observation,MH30AB1020,synthetic_CCTV
S0251,P018,Delhi,2026-08-17 00:14:00,location observation,KA28AB1018,synthetic_CCTV
S0252,P015,Lucknow,2026-07-19 01:07:00,suspicious gathering,GJ25AB1015,synthetic_CCTV
S0253,P039,Lucknow,2026-07-23 15:13:00,suspicious gathering,GJ49AB1039,synthetic_CCTV
S0254,P002,Delhi,2026-06-19 12:21:00,meeting,KA12AB1002,synthetic_CCTV
S0255,P029,Hyderabad,2026-08-21 05:04:00,suspicious gathering,DL39AB1029,synthetic_CCTV
S0256,P003,Bengaluru,2026-08-24 18:25:00,location observation,GJ13AB1003,synthetic_CCTV
S0257,P016,Chandigarh,2026-08-20 08:37:00,meeting,MH26AB1016,synthetic_CCTV
S0258,P006,Jaipur,2026-06-06 07:41:00,vehicle movement,KA16AB1006,synthetic_CCTV
S0259,P043,Bengaluru,2026-07-16 15:20:00,suspicious gathering,GJ53AB1043,synthetic_CCTV
S0260,P027,Bengaluru,2026-08-02 11:09:00,meeting,GJ37AB1027,synthetic_CCTV
S0261,P006,Jaipur,2026-06-27 21:07:00,vehicle movement,KA16AB1006,synthetic_CCTV
S0262,P043,Bengaluru,2026-08-12 22:38:00,location observation,GJ53AB1043,synthetic_CCTV
S0263,P006,Jaipur,2026-08-19 11:36:00,suspicious gathering,KA16AB1006,synthetic_CCTV
S0264,P038,Jaipur,2026-06-15 00:23:00,vehicle movement,KA48AB1038,synthetic_CCTV
S0265,P040,Chandigarh,2026-06-10 17:55:00,meeting,MH50AB1040,synthetic_CCTV
S0266,P024,Chandigarh,2026-08-07 13:26:00,location observation,MH34AB1024,synthetic_CCTV
S0267,P038,Jaipur,2026-07-03 21:19:00,vehicle movement,KA48AB1038,synthetic_CCTV
S0268,P010,Delhi,2026-08-14 03:43:00,suspicious gathering,KA20AB1010,synthetic_CCTV
S0269,P023,Lucknow,2026-08-23 18:55:00,meeting,GJ33AB1023,synthetic_CCTV
S0270,P020,Pune,2026-08-20 18:40:00,meeting,MH30AB1020,synthetic_CCTV
S0271,P009,Mumbai,2026-08-25 16:51:00,meeting,DL19AB1009,synthetic_CCTV
S0272,P035,Bengaluru,2026-08-25 12:15:00,vehicle movement,GJ45AB1035,synthetic_CCTV
S0273,P002,Delhi,2026-07-19 12:54:00,location observation,KA12AB1002,synthetic_CCTV
S0274,P028,Pune,2026-06-24 04:48:00,location observation,MH38AB1028,synthetic_CCTV
S0275,P017,Mumbai,2026-06-03 08:09:00,vehicle movement,DL27AB1017,synthetic_CCTV
S0276,P033,Mumbai,2026-07-22 11:05:00,suspicious gathering,DL43AB1033,synthetic_CCTV
S0277,P046,Jaipur,2026-08-09 20:48:00,meeting,KA56AB1046,synthetic_CCTV
S0278,P042,Delhi,2026-07-07 18:38:00,suspicious gathering,KA52AB1042,synthetic_CCTV
