user_id,connected_user_id,user_handle,connected_handle,interaction_type,date
P004,P005,user_004,user_005,reply,2026-08-11
P006,P005,user_006,user_005,reply,2026-08-01
P009,P008,user_009,user_008,mention,2026-07-09
P009,P006,user_009,user_006,retweet,2026-08-08
P001,P005,user_001,user_005,retweet,2026-06-06
P006,P007,user_006,user_007,reply,2026-08-15
P005,P003,user_005,user_003,retweet,2026-08-21
P006,P008,user_006,user_008,reply,2026-07-13
P003,P002,user_003,user_002,retweet,2026-08-22
P010,P007,user_010,user_007,mention,2026-07-10
P026,P023,user_026,user_023,reply,2026-07-06
P004,P010,user_004,user_010,retweet,2026-07-14
P044,P041,user_044,user_041,reply,2026-08-25
P002,P003,user_002,user_003,reply,2026-07-15
P009,P010,user_009,user_010,reply,2026-07-04
P003,P004,user_003,user_004,mention,2026-08-09
P006,P003,user_006,user_003,mention,2026-06-10
P002,P001,user_002,user_001,mention,2026-07-01
P007,P010,user_007,user_010,reply,2026-07-13
P004,P003,user_004,user_003,retweet,2026-08-13
P004,P005,user_004,user_005,retweet,2026-06-21
P010,P008,user_010,user_008,mention,2026-07-02
P004,P002,user_004,user_002,mention,2026-08-09
P010,P006,user_010,user_006,mention,2026-08-14
P006,P003,user_006,user_003,retweet,2026-07-22
P014,P047,user_014,user_047,retweet,2026-06-01
P004,P010,user_004,user_010,retweet,2026-08-13
P048,P032,user_048,user_032,retweet,2026-08-06
P008,P009,user_008,user_009,reply,2026-08-03
P034,P041,user_034,user_041,retweet,2026-08-21
